Player,Position,Points,Team,ADP
Jalen Hurts,QB,360.5,PHI,1
Josh Allen,QB,360.2,BUF,2
Lamar Jackson,QB,339.2,BAL,3
Patrick Mahomes II,QB,336.6,KC,4
Anthony Richardson,QB,310.4,IND,5
Dak Prescott,QB,307.5,DAL,6
C.J. Stroud,QB,306,HOU,7
Joe Burrow,QB,304.7,CIN,8
Kyler Murray,QB,302.3,ARI,9
Jordan Love,QB,294,GB,10
Brock Purdy,QB,293.1,SF,11
Jayden Daniels,QB,289.7,WAS,12
Trevor Lawrence,QB,286.1,JAC,13
Caleb Williams,QB,286,CHI,14
Justin Herbert,QB,278.5,LAC,15
Deshaun Watson,QB,277.9,CLE,16
Jared Goff,QB,277,DET,17
Tua Tagovailoa,QB,272.5,MIA,18
Kirk Cousins,QB,267.8,ATL,19
Baker Mayfield,QB,267.7,TB,20
Matthew Stafford,QB,265.6,LAR,21
Aaron Rodgers,QB,262.8,NYJ,22
Geno Smith,QB,259.3,SEA,23
Will Levis,QB,248,TEN,24
Daniel Jones,QB,245.4,NYG,25
Derek Carr,QB,244.4,NO,26
Sam Darnold,QB,243.7,MIN,27
Bo Nix,QB,227.6,DEN,28
Bryce Young,QB,227.2,CAR,29
Russell Wilson,QB,217.5,PIT,30
Gardner Minshew II,QB,182,LV,31
Drake Maye,QB,181.1,NE,32
Justin Fields,QB,76,PIT,33
Taysom Hill,QB,75.8,NO,34
Aidan O'Connell,QB,74.6,LV,35
Jacoby Brissett,QB,61.6,NE,36
Sam Howell,QB,35.3,SEA,37
Drew Lock,QB,33.8,NYG,38
Nick Mullens,QB,29.6,MIN,39
Jarrett Stidham,QB,28.9,DEN,40
Michael Penix Jr.,QB,25.6,ATL,41
Jake Browning,QB,24.8,CIN,42
Jameis Winston,QB,23.2,CLE,43
Josh Johnson,QB,22.9,BAL,44
Case Keenum,QB,22.5,HOU,45
Hendon Hooker,QB,22.4,DET,46
Mitchell Trubisky,QB,22,BUF,47
Sean Clifford,QB,21.5,GB,48
Jimmy Garoppolo,QB,21.3,LAR,49
Mason Rudolph,QB,20.6,TEN,50
Joshua Dobbs,QB,20.4,SF,51
Carson Wentz,QB,20.3,KC,52
Tyson Bagent,QB,20.1,CHI,53
Cooper Rush,QB,19.7,DAL,54
Tyrod Taylor,QB,19.5,NYJ,55
Joe Flacco,QB,19.4,IND,56
Skylar Thompson,QB,19.2,MIA,57
Mac Jones,QB,19.1,JAC,58
Easton Stick,QB,18.9,LAC,59
Kenny Pickett,QB,18.9,PHI,60
Marcus Mariota,QB,18.9,WAS,61
Desmond Ridder,QB,18.1,ARI,62
Kyle Trask,QB,18.1,TB,63
Andy Dalton,QB,17.8,CAR,64
Spencer Rattler,QB,16.5,NO,65
Tyler Huntley,QB,13.5,CLE,66
Zach Wilson,QB,12.7,DEN,67
Jaren Hall,QB,12.6,MIN,68
Bailey Zappe,QB,12.5,NE,69
Malik Willis,QB,12.3,TEN,70
Tommy DeVito,QB,12.3,NYG,71
Davis Mills,QB,12.2,HOU,72
C.J. Beathard,QB,11.9,JAC,73
Trey Lance,QB,11.9,DAL,74
Kyle Allen,QB,11.7,PIT,75
Jordan Travis,QB,11.5,NYJ,76
Taylor Heinicke,QB,11.2,ATL,77
Clayton Tune,QB,10.9,ARI,78
Michael Pratt,QB,10.7,GB,79
Joe Milton III,QB,10.3,NE,80
Stetson Bennett,QB,9,LAR,81
Carter Bradley,QB,8.9,LV,82
Sam Hartman,QB,8.7,WAS,83
Tanner McKee,QB,8,PHI,84
Sam Ehlinger,QB,7.8,IND,85
Dorian Thompson-Robinson,QB,4.8,CLE,86
Devin Leary,QB,2.6,BAL,87
Christian McCaffrey,RB,316,SF,88
Breece Hall,RB,268,NYJ,89
Bijan Robinson,RB,263.2,ATL,90
Saquon Barkley,RB,241.4,PHI,91
Jonathan Taylor,RB,240.8,IND,92
Kyren Williams,RB,228.3,LAR,93
Derrick Henry,RB,221.3,BAL,94
Jahmyr Gibbs,RB,221.2,DET,95
Travis Etienne Jr.,RB,215,JAC,96
Isiah Pacheco,RB,214.6,KC,97
James Cook,RB,211,BUF,98
Rachaad White,RB,209.9,TB,99
De'Von Achane,RB,207.1,MIA,100
Alvin Kamara,RB,206.3,NO,101
Josh Jacobs,RB,206.1,GB,102
Joe Mixon,RB,203.2,HOU,103
Kenneth Walker III,RB,195.4,SEA,104
Aaron Jones,RB,181.4,MIN,105
David Montgomery,RB,179.2,DET,106
Rhamondre Stevenson,RB,175.3,NE,107
Zamir White,RB,174.8,LV,108
James Conner,RB,173.6,ARI,109
Najee Harris,RB,172.1,PIT,110
Raheem Mostert,RB,167.1,MIA,111
D'Andre Swift,RB,162.4,CHI,112
Javonte Williams,RB,160.6,DEN,113
Tony Pollard,RB,159.4,TEN,114
Jaylen Warren,RB,156.3,PIT,115
Brian Robinson Jr.,RB,155.9,WAS,116
Devin Singletary,RB,154.4,NYG,117
Zack Moss,RB,149.8,CIN,118
Tyjae Spears,RB,146.8,TEN,119
Austin Ekeler,RB,146.2,WAS,120
Chase Brown,RB,144.5,CIN,121
Ezekiel Elliott,RB,141.8,DAL,122
Gus Edwards,RB,141,LAC,123
Nick Chubb,RB,134.9,CLE,124
Jonathon Brooks,RB,130.2,CAR,125
Jerome Ford,RB,126.2,CLE,126
J.K. Dobbins,RB,117.1,LAC,127
Ty Chandler,RB,113.3,MIN,128
Tyler Allgeier,RB,111.5,ATL,129
Chuba Hubbard,RB,110.6,CAR,130
Rico Dowdle,RB,110.2,DAL,131
Zach Charbonnet,RB,110,SEA,132
Antonio Gibson,RB,109.9,NE,133
Blake Corum,RB,106.3,LAR,134
Trey Benson,RB,103.9,ARI,135
Khalil Herbert,RB,103.2,CHI,136
Jaleel McLaughlin,RB,99.6,DEN,137
MarShawn Lloyd,RB,84.7,GB,138
Alexander Mattison,RB,78.6,LV,139
Bucky Irving,RB,76,TB,140
Ray Davis,RB,75.9,BUF,141
Jamaal Williams,RB,75.1,NO,142
Kendre Miller,RB,74.2,NO,143
Braelon Allen,RB,74.1,NYJ,144
Clyde Edwards-Helaire,RB,74,KC,145
Tyrone Tracy Jr.,RB,70.8,NYG,146
Elijah Mitchell,RB,67.9,SF,147
Miles Sanders,RB,64.8,CAR,148
Tank Bigsby,RB,60,JAC,149
Roschon Johnson,RB,59.9,CHI,150
Jaylen Wright,RB,58.8,MIA,151
D'Onta Foreman,RB,58.3,CLE,152
Kenneth Gainwell,RB,55.8,PHI,153
Dameon Pierce,RB,55.7,HOU,154
Keaton Mitchell,RB,55.6,BAL,155
Kimani Vidal,RB,53.6,LAC,156
AJ Dillon,RB,52.2,GB,157
Samaje Perine,RB,51.8,DEN,158
Justice Hill,RB,51.2,BAL,159
Audric Estime,RB,44.4,DEN,160
Eric Gray,RB,43,NYG,161
Carson Steele,RB,42.5,KC,162
Emari Demercado,RB,41.4,ARI,163
Chase Edmonds,RB,40,TB,164
Ty Johnson,RB,39.7,BUF,165
Will Shipley,RB,38.7,PHI,166
Trey Sermon,RB,38.3,IND,167
Isaiah Davis,RB,36.5,NYJ,168
Dylan Laube,RB,34.2,LV,169
Cordarrelle Patterson,RB,34,PIT,170
Jordan Mason,RB,33,SF,171
Royce Freeman,RB,32.9,DAL,172
Evan Hull,RB,32.1,IND,173
Isaac Guerendo,RB,31.8,SF,174
Kendall Milton,RB,30,PHI,175
Kyle Juszczyk,RB,29.9,SF,176
Jase McClellan,RB,28.2,ATL,177
Deuce Vaughn,RB,28.1,DAL,178
Rasheen Ali,RB,27.2,BAL,179
Deneric Prince,RB,26.8,KC,180
Chris Rodriguez Jr.,RB,26.8,WAS,181
Michael Carter,RB,26.3,ARI,182
Ameer Abdullah,RB,25.4,LV,183
Nyheim Hines,RB,25,CLE,184
Andrew Beck,RB,24.6,HOU,185
Cam Akers,RB,24.4,HOU,186
Jawhar Jordan,RB,24.4,HOU,187
Blake Watson,RB,21.7,DEN,188
D'Ernest Johnson,RB,21.7,JAC,189
Ronnie Rivers,RB,21.2,LAR,190
Craig Reynolds,RB,20.7,DET,191
Kevin Harris,RB,20.4,NE,192
Jeremy McNichols,RB,19.4,WAS,193
Hunter Luepke,RB,19.4,DAL,194
Isaiah Spiller,RB,18.9,LAC,195
Trayveon Williams,RB,18.4,CIN,196
Dare Ogunbowale,RB,18.3,HOU,197
Nick Bawden,RB,18.1,HOU,198
Pierre Strong Jr.,RB,17.8,CLE,199
Kenny McIntosh,RB,17.7,SEA,200
Tyler Goodson,RB,17.4,IND,201
Jeff Wilson Jr.,RB,17.3,MIA,202
Jordan Mims,RB,16.1,NO,203
Julius Chestnut,RB,15.7,TEN,204
Emanuel Wilson,RB,15.6,GB,205
Jaret Patterson,RB,14.7,LAC,206
Carlos Washington Jr.,RB,13.9,ATL,207
Cody Schrader,RB,13.7,SF,208
JaMycal Hasty,RB,12.6,NE,209
Israel Abanikanda,RB,12.2,NYJ,210
Alec Ingold,RB,11.5,MIA,211
Sean Tucker,RB,10.5,TB,212
Raheem Blackshear,RB,10.1,CAR,213
Dante Miller,RB,9.9,NYG,214
James Robinson,RB,9.1,NO,215
Kene Nwangwu,RB,8.9,MIN,216
Chris Brooks,RB,8.7,MIA,217
La'Mical Perine,RB,8.4,PIT,218
Michael Burton,RB,8.2,DEN,219
Myles Gaskin,RB,8.1,MIN,220
DeeJay Dallas,RB,7.9,ARI,221
Avery Williams,RB,7.7,ATL,222
Darrynton Evans,RB,7.6,BUF,223
Emani Bailey,RB,7.5,KC,224
Travis Homer,RB,7.5,CHI,225
Sione Vaki,RB,7.1,DET,226
Reggie Gilliam,RB,7.1,BUF,227
Malik Davis,RB,7,DAL,228
Tucker Fisk,RB,6.7,LAC,229
Keaontay Ingram,RB,6.6,KC,230
Adam Prentice,RB,6.4,NO,231
Keilan Robinson,RB,5.8,JAC,232
Gary Brightwell,RB,5.1,JAC,233
Hassan Haskins,RB,5,TEN,234
Patrick Ricard,RB,4.9,BAL,235
Zonovan Knight,RB,4.7,DET,236
Jake Funk,RB,4.6,DET,237
Jermar Jefferson,RB,4.6,DET,238
J.J. Taylor,RB,4.6,HOU,239
Snoop Conner,RB,4.6,DAL,240
Zach Evans,RB,4.5,LAR,241
Elijah Dotson,RB,4.5,LAC,242
Khari Blasingame,RB,4.4,CHI,243
Spencer Brown,RB,4.4,ATL,244
Patrick Taylor Jr.,RB,4.2,SF,245
John Kelly Jr.,RB,4,BAL,246
C.J. Ham,RB,3.7,MIN,247
Jakob Johnson,RB,3.1,NYG,248
Tyrion Davis-Price,RB,2.5,PHI,249
Mike Boone,RB,2.4,CAR,250
CeeDee Lamb,WR,274.4,DAL,251
Tyreek Hill,WR,270,MIA,252
Ja'Marr Chase,WR,244,CIN,253
Amon-Ra St. Brown,WR,241.9,DET,254
Justin Jefferson,WR,239.3,MIN,255
Puka Nacua,WR,225.3,LAR,256
A.J. Brown,WR,225.1,PHI,257
Garrett Wilson,WR,215.2,NYJ,258
Chris Olave,WR,203.4,NO,259
Marvin Harrison Jr.,WR,200,ARI,260
Mike Evans,WR,199.2,TB,261
Drake London,WR,198.9,ATL,262
Nico Collins,WR,198.6,HOU,263
Davante Adams,WR,197.6,LV,264
Deebo Samuel Sr.,WR,197.3,SF,265
Cooper Kupp,WR,193.5,LAR,266
DK Metcalf,WR,191.4,SEA,267
DeVonta Smith,WR,191.4,PHI,268
Brandon Aiyuk,WR,190.2,SF,269
Jaylen Waddle,WR,187.5,MIA,270
DJ Moore,WR,184.4,CHI,271
Stefon Diggs,WR,184.3,HOU,272
