Player,Position,Points,Team
Josh Allen,QB,376.7,BUF
Lamar Jackson,QB,375.6,BAL
Jalen Hurts,QB,358.7,PHI
Jayden Daniels,QB,355.9,WAS
Joe Burrow,QB,341.6,CIN
Patrick Mahomes II,QB,327.9,KC
Baker Mayfield,QB,321.5,TB
Kyler Murray,QB,318.9,ARI
Brock Purdy,QB,311.3,SF
Bo Nix,QB,308.7,DEN
Justin Fields,QB,300.8,NYJ
J.J. McCarthy,QB,291.8,MIN
Dak Prescott,QB,291.5,DAL
Justin Herbert,QB,291.4,LAC
Jared Goff,QB,289.2,DET
Caleb Williams,QB,287.4,CHI
C.J. Stroud,QB,279.5,HOU
Jordan Love,QB,278.4,GB
Drake Maye,QB,275.6,NE
Trevor Lawrence,QB,274.4,JAC
Matthew Stafford,QB,266.4,LAR
Michael Penix Jr.,QB,263.3,ATL
Tua Tagovailoa,QB,262.9,MIA
Bryce Young,QB,262.7,CAR
Geno Smith,QB,261.7,LV
Sam Darnold,QB,256.3,SEA
Cam Ward,QB,254.8,TEN
Aaron Rodgers,QB,236.9,PIT
Daniel Jones,QB,218.1,IND
Russell Wilson,QB,195.5,NYG
Tyler Shough,QB,183.2,NO
Joe Flacco,QB,150.7,CLE
Spencer Rattler,QB,77.1,NO
Anthony Richardson Sr.,QB,69.1,IND
Jaxson Dart,QB,56.6,NYG
Dillon Gabriel,QB,47.8,CLE
Shedeur Sanders,QB,37.9,CLE
Jalen Milroe,QB,23.0,SEA
Mason Rudolph,QB,18.8,PIT
Kenny Pickett,QB,18.2,CLE
Jameis Winston,QB,16.4,NYG
Malik Willis,QB,16.2,GB
Marcus Mariota,QB,13.1,WAS
Jimmy Garoppolo,QB,12.5,LAR
Mac Jones,QB,12.2,SF
Joshua Dobbs,QB,12.1,NE
Tyrod Taylor,QB,11.9,NYJ
Zach Wilson,QB,11.8,MIA
Jake Browning,QB,11.2,CIN
Aidan O'Connell,QB,11.0,LV
Sam Howell,QB,10.5,MIN
Jacoby Brissett,QB,10.5,ARI
Gardner Minshew II,QB,10.1,KC
Joe Milton III,QB,9.7,DAL
Hendon Hooker,QB,9.2,DET
Mitchell Trubisky,QB,8.9,BUF
Jarrett Stidham,QB,8.8,DEN
Nick Mullens,QB,8.8,JAC
Cooper Rush,QB,8.7,BAL
Davis Mills,QB,8.6,HOU
Tanner McKee,QB,8.4,PHI
Drew Lock,QB,8.3,SEA
Andy Dalton,QB,8.2,CAR
Tyson Bagent,QB,8.2,CHI
Brandon Allen,QB,7.8,TEN
Kyle Trask,QB,7.5,TB
Quinn Ewers,QB,7.4,MIA
Kirk Cousins,QB,7.3,ATL
Trey Lance,QB,7.0,LAC
Deshaun Watson,QB,6.7,CLE
Case Keenum,QB,6.3,CHI
Jake Haener,QB,5.4,NO
Josh Johnson,QB,5.0,WAS
Cam Miller,QB,4.8,LV
Graham Mertz,QB,4.8,HOU
Kyle McCord,QB,4.8,PHI
Will Howard,QB,4.7,PIT
Clayton Tune,QB,2.9,ARI
Taylor Heinicke,QB,2.6,LAC
Tyler Huntley,QB,2.2,CLE
Kyle Allen,QB,0.0,DET
Mike White,QB,0.0,BUF
Trevor Siemian,QB,0.0,TEN
Brett Rypien,QB,0.0,MIN
Easton Stick,QB,0.0,ATL
Logan Woodside,QB,0.0,PIT
Teddy Bridgewater,QB,0.0,TB
Ben DiNucci,QB,0.0,ATL
John Wolford,QB,0.0,JAC
Sam Ehlinger,QB,0.0,DEN
Desmond Ridder,QB,0.0,CIN
Bailey Zappe,QB,0.0,KC
Skylar Thompson,QB,0.0,PIT
Chris Oladokun,QB,0.0,KC
Shane Buechele,QB,0.0,BUF
Stetson Bennett IV,QB,0.0,LAR
Sean Clifford,QB,0.0,GB
Dorian Thompson-Robinson,QB,0.0,PHI
Tommy DeVito,QB,0.0,NYG
Devin Leary,QB,0.0,BAL
Michael Pratt,QB,0.0,TB
Kurtis Rourke,QB,0.0,SF
Riley Leonard,QB,0.0,IND
Saquon Barkley,RB,273.2,PHI
